Title,Location,Price,description,Links
Clean and Spacious Legal 2 Bedroom Basement Apartment for Rent,Pickering,"$1,950.00",- $1950.00 (all utilities included) - Available as of September 9th/October 1st - 2 bedroom - main intersection Rosebank Road and Sheppard Ave - large open concept kitchen and family room with fire ...,https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/clean-and-spacious-legal-2-bedroom-basement-apartment-for-rent/1631607297
2 Bedroom Basement Apt Separate Entrance By Coxwell & Danforth,Toronto,"$1,850.00",Location - Less than 3 minutes walk from Coxwell Ave & Michael Garron Hospital (formerly Toronto East General Hospital). - 10 minutes walk from Coxwell Subway Station. - TTC Bus Stop is just numbers ...,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-basement-apt-separate-entrance-by-coxwell-danforth/1632339873
3 Bedroom Apartment for rent in Brampton.,Mississauga / Peel Region,"$2,250.00",# 3 Bedroom Apartment for rent in Brampton - call please 416-636-7498 # $2250 +30% Utility's. Location! Location! Location!!! #Luxurious 9” fit Celling - Legal basement with # separate Entrance. #Top ...,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/3-bedroom-apartment-for-rent-in-brampton/1631273118
NEW ALL INCLUSIVE BASEMENT FOR RENT IN SCARBOROUGH-,Toronto,"$2,199.00","NEW ALL INCLUSIVE BASEMENT FOR RENT IN SCARBOROUGH- New All Inclusive2 Bedroom Basement Apt. With Separate Entrance. Laminate Floors, Pot lights, Large windows, 3 Piece Bath, En-suite Washer and ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/new-all-inclusive-basement-for-rent-in-scarborough/1630927276
Spacious Annex 1BR/1BA with jacuzzi and backyard!,City of Toronto,"$1,775.00","Beautiful, large, light-filled and quiet unit only 2 minutes from Spadina Subway station, in tree-lined Annex neighborhood. Quiet, safe and clean.",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/spacious-annex-1br-1ba-with-jacuzzi-and-backyard/1632755371
Newly done basement apartment,Markham,"$1,800.00","Newly done basement apartment for rent available from November 1st. Including: - 2 bedrooms - 1 bathroom - Kitchen Located at Bur Oak and McCowan. Grocery stores, bank, fast food, bus-stop, ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/newly-done-basement-apartment/1632932073
One bedroom in stunning home!!,Oshawa,"$2,000.00",One bedroom basement apartment for rent in beautiful newly built home. Looking for students or responsible adult or couple or small family. Only people who can commit to paying their rent monthly on ...,https://www.kijiji.ca/v-apartments-condos/oshawa-durham-region/one-bedroom-in-stunning-home/1632930878
Basement for rent Bradfors,Bradford West Gwillimbury,"$1,500.00","Beautiful 1 Bedroom 1 Bath lower unit available for Rent in Bradford. Utilities included, internet and cable are not included. Large open concept living area and Large Cozy Bedroom and bathroom. This ...",https://www.kijiji.ca/v-apartments-condos/markham-york-region/basement-for-rent-bradfors/1632930637
2 Bedrooms basement apartment for rent (Finch & Leslie),Toronto,"$1,700.00","Unfurnished, 2 bedrooms basement apartment located between Don Mills-Leslie south of Finch. Nice neighborhood, very safe and quiet. Near Peanut Plaza and Fairview Mall. Suits no more than 2 people. ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedrooms-basement-apartment-for-rent-finch-leslie/1632929319
Church & Wellesley - Basement Studio w/ Laundry (Utilities Incl),Toronto,"$1,595.00","Live in this basement studio suite in a Downtown heritage home, located steps from Yonge-Bloor & Wellesley subway stations. Unit is ready for Nov 1, $1595/mo heat, hydro, & water included. ...",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/church-wellesley-basement-studio-w-laundry-utilities-incl/1632928621
